epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,906.146,0.2164,0.98174,1,0.05836,0.000176786,0.000176786,0.000176786
78,917.552,0.21045,0.98174,1,0.0541,0.000169718,0.000169718,0.000169718
79,929.032,0.17409,0.9863,1,0.02588,0.000162649,0.000162649,0.000162649
80,940.431,0.14468,0.98174,1,0.02824,0.000155581,0.000155581,0.000155581
81,951.973,0.18447,0.98174,1,0.05165,0.000148512,0.000148512,0.000148512
82,963.88,0.1525,0.98174,1,0.06451,0.000141443,0.000141443,0.000141443
83,975.717,0.17638,0.9863,1,0.04037,0.000134375,0.000134375,0.000134375
84,987.074,0.15059,0.99543,1,0.01819,0.000127306,0.000127306,0.000127306
85,998.589,0.1428,0.99543,1,0.01977,0.000120238,0.000120238,0.000120238
86,1010.19,0.16549,0.9863,1,0.03749,0.000113169,0.000113169,0.000113169
87,1021.59,0.11932,0.9863,1,0.04083,0.0001061,0.0001061,0.0001061
88,1032.91,0.17895,0.9863,1,0.04411,9.90318e-05,9.90318e-05,9.90318e-05
89,1044.41,0.14322,0.98174,1,0.04842,9.19632e-05,9.19632e-05,9.19632e-05
90,1055.73,0.20385,0.99087,1,0.03266,8.48946e-05,8.48946e-05,8.48946e-05
91,1068.79,0.21121,0.98174,1,0.05006,7.7826e-05,7.7826e-05,7.7826e-05
92,1080.06,0.19123,0.97717,1,0.07083,7.07574e-05,7.07574e-05,7.07574e-05
93,1091.49,0.15912,0.98174,1,0.04827,6.36888e-05,6.36888e-05,6.36888e-05
94,1102.91,0.16581,0.98174,1,0.05463,5.66202e-05,5.66202e-05,5.66202e-05
95,1114.45,0.14264,0.9863,1,0.04691,4.95516e-05,4.95516e-05,4.95516e-05
96,1125.94,0.16141,0.99087,1,0.0308,4.2483e-05,4.2483e-05,4.2483e-05
97,1137.46,0.11736,0.99543,1,0.01625,3.54144e-05,3.54144e-05,3.54144e-05
98,1149.14,0.17188,0.99087,1,0.02213,2.83458e-05,2.83458e-05,2.83458e-05
99,1161.09,0.13705,0.99087,1,0.02612,2.12772e-05,2.12772e-05,2.12772e-05
100,1172.71,0.20791,0.9863,1,0.03537,1.42086e-05,1.42086e-05,1.42086e-05
