epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.9071,0.4851,0.6758,1,0.63731,0.000237656,0.000237656,0.000237656
2,51.2195,0.40328,0.76256,1,0.56602,0.000470947,0.000470947,0.000470947
3,74.832,0.41351,0.621,1,0.63475,0.000699526,0.000699526,0.000699526
4,98.7176,0.35809,0.54795,1,0.74884,0.000692794,0.000692794,0.000692794
5,122.397,0.32716,0.37443,1,0.95467,0.000685726,0.000685726,0.000685726
6,146.7,0.26299,0.62557,1,0.58397,0.000678657,0.000678657,0.000678657
7,170.365,0.22017,0.61187,1,0.5404,0.000671588,0.000671588,0.000671588
8,194.49,0.30395,0.81735,1,0.69725,0.00066452,0.00066452,0.00066452
9,218.486,0.32297,0.60731,1,0.62345,0.000657451,0.000657451,0.000657451
10,242.553,0.16553,0.93151,1,0.34919,0.000650383,0.000650383,0.000650383
11,266.749,0.13571,0.84475,1,0.38971,0.000643314,0.000643314,0.000643314
12,290.981,0.13432,0.78995,1,0.3698,0.000636245,0.000636245,0.000636245
13,315.199,0.12433,0.88584,1,0.24263,0.000629177,0.000629177,0.000629177
14,339.156,0.08921,0.9726,1,0.2164,0.000622108,0.000622108,0.000622108
15,363.286,0.14446,0.87671,1,0.24863,0.00061504,0.00061504,0.00061504
16,387.284,0.12049,0.83105,1,0.32147,0.000607971,0.000607971,0.000607971
17,411.136,0.12783,0.94064,1,0.2436,0.000600902,0.000600902,0.000600902
18,434.697,0.10934,0.91324,1,0.26282,0.000593834,0.000593834,0.000593834
19,458.283,0.06163,0.87671,1,0.21556,0.000586765,0.000586765,0.000586765
20,482.006,0.06888,0.79452,1,0.35605,0.000579697,0.000579697,0.000579697
21,505.714,0.11048,0.87215,1,0.23279,0.000572628,0.000572628,0.000572628
22,529.489,0.26737,0.6347,1,0.76072,0.000565559,0.000565559,0.000565559
23,554.228,0.20332,0.73973,1,0.42832,0.000558491,0.000558491,0.000558491
24,578.374,0.13373,0.86301,1,0.25951,0.000551422,0.000551422,0.000551422
25,602.219,0.06073,0.94064,1,0.20793,0.000544354,0.000544354,0.000544354
26,625.811,0.05908,0.91324,1,0.21823,0.000537285,0.000537285,0.000537285
27,649.314,0.0594,0.83105,1,0.26861,0.000530216,0.000530216,0.000530216
28,672.674,0.06376,0.6895,1,0.62316,0.000523148,0.000523148,0.000523148
29,696.513,0.10164,0.88584,1,0.30567,0.000516079,0.000516079,0.000516079
30,720.244,0.04837,0.92237,1,0.26297,0.000509011,0.000509011,0.000509011
31,744.021,0.0497,0.94064,1,0.23782,0.000501942,0.000501942,0.000501942
32,767.642,0.05027,0.96347,1,0.22801,0.000494873,0.000494873,0.000494873
33,791.291,0.07786,0.96347,1,0.26114,0.000487805,0.000487805,0.000487805
34,814.896,0.06416,0.97717,1,0.26639,0.000480736,0.000480736,0.000480736
35,838.501,0.03829,0.99087,1,0.15924,0.000473668,0.000473668,0.000473668
36,861.786,0.03632,0.98174,1,0.18199,0.000466599,0.000466599,0.000466599
37,883.793,0.04572,0.94521,1,0.23084,0.00045953,0.00045953,0.00045953
38,906.189,0.05009,0.93607,1,0.39581,0.000452462,0.000452462,0.000452462
39,928.24,0.05884,0.9726,1,0.29202,0.000445393,0.000445393,0.000445393
40,952.366,0.08724,0.9863,1,0.16201,0.000438325,0.000438325,0.000438325
41,976.322,0.07012,0.97717,1,0.15391,0.000431256,0.000431256,0.000431256
42,999.988,0.03842,0.9726,1,0.21587,0.000424187,0.000424187,0.000424187
43,1023.69,0.05517,0.9726,1,0.26878,0.000417119,0.000417119,0.000417119
44,1047.62,0.03389,0.99087,1,0.15755,0.00041005,0.00041005,0.00041005
45,1071.49,0.0409,0.98174,1,0.22507,0.000402982,0.000402982,0.000402982
46,1095.37,0.13253,0.94977,1,0.16861,0.000395913,0.000395913,0.000395913
47,1119.77,0.05001,0.9726,1,0.16499,0.000388844,0.000388844,0.000388844
48,1143.96,0.04913,0.97717,1,0.10624,0.000381776,0.000381776,0.000381776
49,1168.12,0.05818,0.96804,1,0.12853,0.000374707,0.000374707,0.000374707
50,1191.85,0.04897,0.98174,1,0.09056,0.000367639,0.000367639,0.000367639
51,1215.52,0.03441,0.9863,1,0.09612,0.00036057,0.00036057,0.00036057
52,1239.18,0.02383,0.96347,1,0.12276,0.000353501,0.000353501,0.000353501
53,1262.93,0.06607,0.9726,1,0.17143,0.000346433,0.000346433,0.000346433
54,1286.89,0.05132,0.92237,1,0.34721,0.000339364,0.000339364,0.000339364
55,1310.83,0.02223,0.85845,1,0.64856,0.000332296,0.000332296,0.000332296
56,1334.65,0.02974,0.96347,1,0.15636,0.000325227,0.000325227,0.000325227
57,1358.97,0.02938,0.84932,1,0.33399,0.000318158,0.000318158,0.000318158
58,1382.92,0.02893,0.99543,1,0.10087,0.00031109,0.00031109,0.00031109
59,1406.82,0.047,0.99087,1,0.10601,0.000304021,0.000304021,0.000304021
60,1430.44,0.03084,0.9726,1,0.11182,0.000296953,0.000296953,0.000296953
61,1454.39,0.03504,0.98174,1,0.10223,0.000289884,0.000289884,0.000289884
62,1478.17,0.02873,0.9863,1,0.12093,0.000282815,0.000282815,0.000282815
63,1502.06,0.01609,0.99543,1,0.09395,0.000275747,0.000275747,0.000275747
64,1525.78,0.05458,0.98174,1,0.10823,0.000268678,0.000268678,0.000268678
65,1549.41,0.02737,0.9863,1,0.11353,0.00026161,0.00026161,0.00026161
66,1573.81,0.00649,0.97717,1,0.11834,0.000254541,0.000254541,0.000254541
67,1598.03,0.02143,0.98174,1,0.14486,0.000247472,0.000247472,0.000247472
68,1622.93,0.01407,0.99087,1,0.13359,0.000240404,0.000240404,0.000240404
69,1647.68,0.02256,0.9863,1,0.14949,0.000233335,0.000233335,0.000233335
70,1672.23,0.02723,0.98174,1,0.13923,0.000226267,0.000226267,0.000226267
71,1697.15,0.01933,0.99087,1,0.1284,0.000219198,0.000219198,0.000219198
72,1721.45,0.00236,0.99087,1,0.09923,0.000212129,0.000212129,0.000212129
73,1745.62,0.00853,0.99087,1,0.12322,0.000205061,0.000205061,0.000205061
74,1769.48,0.04319,0.9863,1,0.11037,0.000197992,0.000197992,0.000197992
75,1793.47,0.02543,0.9863,1,0.13348,0.000190924,0.000190924,0.000190924
76,1817.48,0.01976,0.99087,1,0.11478,0.000183855,0.000183855,0.000183855
77,1841.81,0.02656,0.99087,1,0.10405,0.000176786,0.000176786,0.000176786
78,1866.12,0.02816,0.9863,1,0.09505,0.000169718,0.000169718,0.000169718
79,1890.28,0.00789,0.99087,1,0.10782,0.000162649,0.000162649,0.000162649
80,1914.35,0.00786,0.99087,1,0.09528,0.000155581,0.000155581,0.000155581
81,1938.49,0.01999,0.99087,1,0.11603,0.000148512,0.000148512,0.000148512
82,1963.21,0.02437,0.9863,1,0.11832,0.000141443,0.000141443,0.000141443
83,1988.34,0.00943,0.99087,1,0.16457,0.000134375,0.000134375,0.000134375
84,2011.98,0.00937,0.9863,1,0.1223,0.000127306,0.000127306,0.000127306
85,2034.73,0.00509,0.99087,1,0.13624,0.000120238,0.000120238,0.000120238
86,2057.07,0.00227,0.9863,1,0.10798,0.000113169,0.000113169,0.000113169
87,2079.45,0.02469,0.9863,1,0.10054,0.0001061,0.0001061,0.0001061
88,2101.81,0.01984,0.99087,1,0.12292,9.90318e-05,9.90318e-05,9.90318e-05
89,2124.18,0.00151,0.98174,1,0.1054,9.19632e-05,9.19632e-05,9.19632e-05
90,2146.21,0.01582,0.99087,1,0.12566,8.48946e-05,8.48946e-05,8.48946e-05
91,2170.78,0.01577,0.9863,1,0.10945,7.7826e-05,7.7826e-05,7.7826e-05
92,2193.6,0.03086,0.9863,1,0.10424,7.07574e-05,7.07574e-05,7.07574e-05
93,2215.97,0.01894,0.99087,1,0.10043,6.36888e-05,6.36888e-05,6.36888e-05
94,2238.36,0.00868,0.99087,1,0.12424,5.66202e-05,5.66202e-05,5.66202e-05
95,2260.91,0.00206,0.9863,1,0.13542,4.95516e-05,4.95516e-05,4.95516e-05
96,2283.39,0.00842,0.99087,1,0.12089,4.2483e-05,4.2483e-05,4.2483e-05
97,2305.8,0.01211,0.99087,1,0.10997,3.54144e-05,3.54144e-05,3.54144e-05
98,2328.2,0.01652,0.9863,1,0.15272,2.83458e-05,2.83458e-05,2.83458e-05
99,2350.56,0.01568,0.99087,1,0.0979,2.12772e-05,2.12772e-05,2.12772e-05
100,2372.95,0.0174,0.9863,1,0.12373,1.42086e-05,1.42086e-05,1.42086e-05
