epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.4626,0.52264,0.84018,1,0.39321,0.000236624,0.000236624,0.000236624
2,52.478,0.41855,0.84475,1,0.34027,0.000469925,0.000469925,0.000469925
3,73.9318,0.38419,0.83105,1,0.3809,0.000698514,0.000698514,0.000698514
4,95.3823,0.37571,0.92237,1,0.2372,0.000692794,0.000692794,0.000692794
5,117.217,0.33943,0.97717,1,0.17654,0.000685726,0.000685726,0.000685726
6,139.18,0.31997,0.9726,1,0.12862,0.000678657,0.000678657,0.000678657
7,160.745,0.29113,0.96347,1,0.1004,0.000671588,0.000671588,0.000671588
8,182.398,0.31628,0.93151,1,0.15129,0.00066452,0.00066452,0.00066452
9,204.258,0.33936,0.95434,1,0.12928,0.000657451,0.000657451,0.000657451
10,226.12,0.26591,0.97717,1,0.05744,0.000650383,0.000650383,0.000650383
11,248.044,0.23756,0.96804,1,0.09623,0.000643314,0.000643314,0.000643314
12,269.695,0.2872,0.94977,1,0.13741,0.000636245,0.000636245,0.000636245
13,291.362,0.27042,0.98174,1,0.05848,0.000629177,0.000629177,0.000629177
14,313.432,0.25803,0.96804,1,0.09536,0.000622108,0.000622108,0.000622108
15,335.338,0.19608,0.9863,1,0.04589,0.00061504,0.00061504,0.00061504
16,357.409,0.26091,0.97717,1,0.06652,0.000607971,0.000607971,0.000607971
17,379.257,0.20935,0.96804,1,0.07247,0.000600902,0.000600902,0.000600902
18,401.018,0.24862,0.98174,1,0.05764,0.000593834,0.000593834,0.000593834
19,422.898,0.21624,0.9726,1,0.06394,0.000586765,0.000586765,0.000586765
20,444.986,0.26819,0.96347,1,0.09696,0.000579697,0.000579697,0.000579697
21,466.732,0.1875,0.9726,1,0.06633,0.000572628,0.000572628,0.000572628
22,488.482,0.22085,0.95434,1,0.16132,0.000565559,0.000565559,0.000565559
23,510.042,0.23671,0.97717,1,0.06602,0.000558491,0.000558491,0.000558491
24,531.821,0.20041,0.99087,1,0.0687,0.000551422,0.000551422,0.000551422
25,553.591,0.18694,0.97717,1,0.06393,0.000544354,0.000544354,0.000544354
26,575.289,0.19515,0.98174,1,0.05071,0.000537285,0.000537285,0.000537285
27,597.142,0.18001,0.9726,1,0.08197,0.000530216,0.000530216,0.000530216
28,618.764,0.19393,0.9863,1,0.05104,0.000523148,0.000523148,0.000523148
29,640.432,0.174,0.98174,1,0.04789,0.000516079,0.000516079,0.000516079
30,662.202,0.13767,0.98174,1,0.0495,0.000509011,0.000509011,0.000509011
31,683.713,0.18795,0.9863,1,0.05072,0.000501942,0.000501942,0.000501942
32,705.267,0.2042,0.98174,1,0.04993,0.000494873,0.000494873,0.000494873
33,726.927,0.15565,0.98174,1,0.0447,0.000487805,0.000487805,0.000487805
34,748.467,0.15926,0.9863,1,0.05761,0.000480736,0.000480736,0.000480736
35,770.098,0.18528,0.96347,1,0.09111,0.000473668,0.000473668,0.000473668
36,791.824,0.14269,0.97717,1,0.0451,0.000466599,0.000466599,0.000466599
37,813.452,0.15092,0.9863,1,0.07049,0.00045953,0.00045953,0.00045953
38,835.104,0.15385,0.98174,1,0.05035,0.000452462,0.000452462,0.000452462
39,856.768,0.19284,0.98174,1,0.04198,0.000445393,0.000445393,0.000445393
40,878.353,0.16729,0.99087,1,0.02906,0.000438325,0.000438325,0.000438325
41,900.14,0.1501,0.96804,1,0.07828,0.000431256,0.000431256,0.000431256
42,921.794,0.14427,0.97717,1,0.08034,0.000424187,0.000424187,0.000424187
43,943.506,0.16168,0.98174,1,0.06304,0.000417119,0.000417119,0.000417119
44,965.083,0.16747,0.9863,1,0.04004,0.00041005,0.00041005,0.00041005
45,986.829,0.16324,0.99087,1,0.02659,0.000402982,0.000402982,0.000402982
46,1008.4,0.15433,0.96804,1,0.05961,0.000395913,0.000395913,0.000395913
47,1030.04,0.15974,0.97717,1,0.04936,0.000388844,0.000388844,0.000388844
48,1051.42,0.14444,0.99087,1,0.03445,0.000381776,0.000381776,0.000381776
49,1073.14,0.14383,0.9726,1,0.06296,0.000374707,0.000374707,0.000374707
50,1094.87,0.1662,0.98174,1,0.03953,0.000367639,0.000367639,0.000367639
51,1116.35,0.137,0.99087,1,0.02652,0.00036057,0.00036057,0.00036057
52,1138.05,0.12315,0.99543,1,0.02992,0.000353501,0.000353501,0.000353501
53,1159.5,0.16286,0.97717,1,0.03358,0.000346433,0.000346433,0.000346433
54,1181.17,0.14265,0.99087,1,0.02682,0.000339364,0.000339364,0.000339364
55,1202.69,0.1402,0.99087,1,0.02217,0.000332296,0.000332296,0.000332296
56,1224.45,0.13564,0.9863,1,0.02628,0.000325227,0.000325227,0.000325227
57,1246.03,0.11078,0.99543,1,0.02864,0.000318158,0.000318158,0.000318158
58,1267.84,0.13747,0.99087,1,0.02113,0.00031109,0.00031109,0.00031109
59,1289.21,0.144,0.9863,1,0.03897,0.000304021,0.000304021,0.000304021
60,1310.8,0.10925,0.99087,1,0.02301,0.000296953,0.000296953,0.000296953
61,1332.47,0.09655,0.99087,1,0.01647,0.000289884,0.000289884,0.000289884
62,1354.11,0.13637,0.98174,1,0.03003,0.000282815,0.000282815,0.000282815
63,1375.74,0.17543,0.96804,1,0.05737,0.000275747,0.000275747,0.000275747
64,1397.45,0.15878,0.9863,1,0.03976,0.000268678,0.000268678,0.000268678
65,1418.92,0.14824,0.98174,1,0.06958,0.00026161,0.00026161,0.00026161
66,1440.5,0.16761,0.99087,1,0.02156,0.000254541,0.000254541,0.000254541
67,1462.08,0.11608,0.99543,1,0.01765,0.000247472,0.000247472,0.000247472
68,1483.46,0.15847,0.99087,1,0.02264,0.000240404,0.000240404,0.000240404
69,1504.97,0.12975,0.9863,1,0.03433,0.000233335,0.000233335,0.000233335
70,1526.47,0.107,0.99087,1,0.02824,0.000226267,0.000226267,0.000226267
71,1548.27,0.13368,1,1,0.01062,0.000219198,0.000219198,0.000219198
72,1569.84,0.12446,0.99087,1,0.03332,0.000212129,0.000212129,0.000212129
73,1591.57,0.10107,0.99087,1,0.03673,0.000205061,0.000205061,0.000205061
74,1613.11,0.13338,0.99087,1,0.02001,0.000197992,0.000197992,0.000197992
75,1634.77,0.08954,0.99087,1,0.02014,0.000190924,0.000190924,0.000190924
76,1656.26,0.10944,0.98174,1,0.03087,0.000183855,0.000183855,0.000183855
77,1677.73,0.12792,0.99087,1,0.01868,0.000176786,0.000176786,0.000176786
78,1699.3,0.12197,0.99087,1,0.01677,0.000169718,0.000169718,0.000169718
79,1720.89,0.10732,0.99087,1,0.01815,0.000162649,0.000162649,0.000162649
80,1742.73,0.11245,0.9863,1,0.03638,0.000155581,0.000155581,0.000155581
81,1764.17,0.11806,0.9863,1,0.02252,0.000148512,0.000148512,0.000148512
82,1785.87,0.1286,0.9863,1,0.01846,0.000141443,0.000141443,0.000141443
83,1807.53,0.10712,0.9863,1,0.03139,0.000134375,0.000134375,0.000134375
84,1829.16,0.0918,0.99087,1,0.03301,0.000127306,0.000127306,0.000127306
85,1850.56,0.10074,0.97717,1,0.04685,0.000120238,0.000120238,0.000120238
86,11083.9,0.09961,0.9863,1,0.04018,0.000113169,0.000113169,0.000113169
87,11106,0.09519,0.98174,1,0.03242,0.0001061,0.0001061,0.0001061
88,11128,0.12812,0.9863,1,0.03337,9.90318e-05,9.90318e-05,9.90318e-05
89,11149.6,0.10405,0.9863,1,0.0324,9.19632e-05,9.19632e-05,9.19632e-05
90,11171.1,0.12816,0.9863,1,0.03246,8.48946e-05,8.48946e-05,8.48946e-05
91,11194.5,0.09501,0.9863,1,0.02742,7.7826e-05,7.7826e-05,7.7826e-05
